 Date_TimeUTC,SSH,SST,Temp,Bar_Press,Residuals,Adj_Res,Wind_Dir,Wind_Gust,Wind_Sp,Solomon_Islands
03/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
03/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
03/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
03/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
03/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
04/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
05/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
06/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
07/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
08/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
09/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
10/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
11/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 08:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 09:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 10:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 11:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 12:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 13:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 14:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 15:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 16:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 17:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 18:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 20:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 22:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
12/07/94 23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
13/07/94 05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
